time;ax (m/s^2);ay (m/s^2);az (m/s^2);aT (m/s^2)
08:47:04:343;-0,0477;-0,0139;0,0221;0,054
08:47:04:350;-0,0157;0,0143;-0,0030;0,021
08:47:04:358;-0,0029;0,0568;-0,0138;0,058
08:47:04:366;0,0169;0,0635;0,0158;0,068
08:47:04:375;0,0198;0,0680;-0,0386;0,081
08:47:04:383;-0,0085;0,0367;0,0025;0,038
08:47:04:391;-0,0033;0,0629;-0,0020;0,063
08:47:04:399;0,0041;0,0245;0,0028;0,025
08:47:04:406;-0,0028;0,0390;0,0241;0,046
08:47:04:414;-0,0147;0,0151;0,0120;0,024
08:47:04:423;-0,0436;0,0367;0,0190;0,060
08:47:04:431;-0,0608;0,0154;-0,0004;0,063
08:47:04:439;-0,0850;0,0683;0,0349;0,114
08:47:04:446;-0,0849;0,0855;0,0436;0,128
08:47:04:456;-0,0175;0,0643;0,0405;0,078
08:47:04:464;-0,0197;0,0478;0,0423;0,067
08:47:04:472;-0,0024;0,0434;0,0176;0,047
08:47:04:480;0,0143;0,0222;0,0360;0,045
08:47:04:487;-0,0125;0,0108;0,0421;0,045
08:47:04:495;-0,0346;0,0183;0,0199;0,044
08:47:04:503;-0,0329;0,0234;0,0096;0,042
08:47:04:511;-0,0451;0,0623;0,0179;0,079
08:47:04:520;-0,0594;0,0820;0,0168;0,103
08:47:04:528;-0,0495;0,0611;0,0300;0,084
08:47:04:537;-0,0562;0,0449;0,0646;0,097
08:47:04:543;-0,0271;0,0431;0,0633;0,081
08:47:04:551;-0,0242;0,0200;0,0832;0,089
08:47:04:560;-0,0523;0,0614;0,0865;0,118
08:47:04:567;-0,0134;0,0118;0,0899;0,092
08:47:04:575;-0,0227;-0,0188;0,0721;0,078
08:47:04:584;-0,0511;-0,0062;0,0946;0,108
08:47:04:592;-0,0747;-0,0103;0,1027;0,127
08:47:04:599;-0,0599;-0,0096;0,0917;0,110
08:47:04:608;-0,0569;-0,0017;0,0830;0,101
08:47:04:616;-0,0586;0,0157;0,0913;0,110
08:47:04:624;-0,0365;0,0090;0,0878;0,096
08:47:04:632;-0,0527;-0,0074;0,0822;0,098
08:47:04:641;-0,0306;0,0120;0,0290;0,044
08:47:04:648;-0,0300;0,0649;0,0477;0,086
08:47:04:659;-0,0079;0,0555;0,0737;0,093
08:47:04:665;-0,0242;0,0317;0,0662;0,077
08:47:04:672;-0,0261;0,0221;0,0589;0,068
08:47:04:680;-0,0283;0,0389;0,0444;0,066
08:47:04:688;-0,0211;0,0198;0,0348;0,045
08:47:04:696;-0,0454;0,0414;0,0084;0,062
08:47:04:704;0,0048;-0,0114;0,0399;0,042
08:47:04:712;-0,0217;0,0124;0,0329;0,041
08:47:04:720;-0,0197;0,0219;0,0714;0,077
08:47:04:728;0,0016;0,0170;0,0477;0,051
08:47:04:737;0,0205;0,0120;0,0194;0,031
08:47:04:745;0,0272;0,0310;0,0342;0,054
08:47:04:753;-0,0044;0,0261;0,0703;0,075
08:47:04:764;-0,0168;0,0571;0,0611;0,085
08:47:04:774;-0,0245;0,0736;0,0447;0,090
08:47:04:777;-0,0056;0,0615;0,0308;0,069
08:47:04:785;0,0132;0,0134;0,0193;0,027
08:47:04:793;0,0270;0,0157;0,0506;0,059
08:47:04:801;0,0261;0,0132;0,0531;0,061
08:47:04:809;-0,0010;0,0226;0,0224;0,032
08:47:04:817;-0,0209;0,0128;0,0133;0,028
08:47:04:826;-0,0193;0,0199;0,0376;0,047
08:47:04:834;-0,0202;0,0125;0,0428;0,049
08:47:04:841;0,0054;0,0316;0,0359;0,048
08:47:04:850;0,0333;0,0386;0,0338;0,061
08:47:04:857;0,0253;0,0385;0,0413;0,062
08:47:04:866;-0,0044;0,0576;0,0174;0,060
08:47:04:874;-0,0171;0,0360;0,0272;0,048
08:47:04:882;0,0010;0,0432;0,0513;0,067
08:47:04:890;0,0288;0,0575;0,0322;0,072
08:47:04:898;0,0160;0,0431;-0,0059;0,046
08:47:04:906;-0,0088;0,0192;0,0203;0,029
08:47:04:914;-0,0023;0,0097;0,0322;0,034
08:47:04:922;0,0044;0,0480;0,0275;0,055
08:47:04:930;0,0064;0,0576;0,0347;0,068
08:47:04:938;-0,0155;0,0815;0,0418;0,093
08:47:04:946;-0,0205;0,0936;0,0440;0,105
08:47:04:958;-0,0086;0,0984;0,0344;0,105
08:47:04:967;-0,0087;0,0411;0,0198;0,046
08:47:04:972;-0,0231;0,0436;0,0243;0,055
08:47:04:980;-0,0089;0,0222;0,0193;0,031
08:47:04:986;-0,0042;0,0269;0,0147;0,031
08:47:04:994;-0,0119;0,0197;0,0194;0,030
08:47:05:003;-0,0027;0,0317;0,0242;0,040
08:47:05:010;-0,0126;0,0389;0,0194;0,045
08:47:05:019;-0,0177;0,0628;0,0291;0,071
08:47:05:027;-0,0109;0,0533;0,0289;0,062
08:47:05:035;-0,0206;0,0485;0,0218;0,057
08:47:05:043;0,0080;0,0581;0,0265;0,064
08:47:05:051;-0,0018;0,0390;0,0240;0,046
08:47:05:059;-0,0114;0,0416;0,0238;0,049
08:47:05:068;0,0007;0,0513;0,0281;0,059
08:47:05:075;-0,0233;0,0299;0,0278;0,047
08:47:05:082;-0,0328;0,0349;0,0179;0,051
08:47:05:092;-0,0160;0,0327;0,0390;0,053
08:47:05:099;-0,0327;0,0353;0,0554;0,073
08:47:05:108;-0,0111;0,0450;0,0431;0,063
08:47:05:116;-0,0157;0,0596;0,0474;0,078
08:47:05:123;-0,0107;0,0622;0,0349;0,072
08:47:05:131;-0,0057;0,0432;0,0323;0,054
08:47:05:139;-0,0175;0,0219;0,0271;0,039
08:47:05:148;-0,0601;0,0508;0,0219;0,082
08:47:05:157;-0,0667;0,0509;0,0336;0,090
08:47:05:167;-0,0180;0,0247;0,0452;0,055
08:47:05:173;0,0282;0,0032;0,0593;0,066
08:47:05:180;0,0121;0,0128;0,0377;0,042
08:47:05:188;-0,0115;0,0417;0,0206;0,048
08:47:05:196;-0,0258;0,0300;0,0608;0,073
08:47:05:204;-0,0641;0,0373;0,0413;0,085
08:47:05:212;-0,0614;0,0374;0,0029;0,072
08:47:05:220;-0,0085;0,0615;-0,0070;0,062
08:47:05:228;-0,0247;0,0571;0,0281;0,068
08:47:05:236;-0,0550;0,0406;0,0251;0,073
08:47:05:245;-0,0398;0,0623;0,0439;0,086
08:47:05:252;-0,0340;0,0409;0,0650;0,084
08:47:05:260;0,0076;0,0459;0,0646;0,080
08:47:05:269;0,0176;0,0389;0,0594;0,073
08:47:05:276;-0,0036;0,0438;0,0544;0,070
08:47:05:284;-0,0252;0,0342;0,0497;0,065
08:47:05:292;-0,0469;0,0318;0,0592;0,082
08:47:05:300;-0,0445;0,0221;0,0428;0,066
08:47:05:309;-0,0275;-0,0045;0,0431;0,051
08:47:05:317;-0,0272;-0,0215;0,0484;0,060
