"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.908759440E-1,8.159999549E-2,3.569999933E-1,3.350000083E-2,3.677360528E-1
1.000802506E0,1.010999978E-1,3.683999777E-1,1.019999944E-2,3.821567651E-1
1.010729069E0,1.538999975E-1,3.332999945E-1,3.150000051E-2,3.684648498E-1
1.020655631E0,2.151999921E-1,2.888000011E-1,1.299999934E-2,3.603962780E-1
1.030582194E0,2.951999903E-1,2.346999943E-1,6.279999763E-2,3.823231111E-1
1.040507194E0,3.348999918E-1,2.110999972E-1,1.986999959E-1,4.429479672E-1
1.050433756E0,2.285999954E-1,1.768999994E-1,4.930000007E-1,5.714897798E-1
1.060360319E0,1.631999910E-1,1.611000001E-1,5.349000096E-1,5.819840783E-1
1.070286881E0,2.251999974E-1,1.430999935E-1,3.267999887E-1,4.218896534E-1
1.080213444E0,2.861999869E-1,1.525999904E-1,4.439999908E-2,3.273660787E-1
1.090140006E0,3.170999885E-1,1.503999978E-1,-1.942999959E-1,4.011546465E-1
1.100066569E0,2.692999840E-1,1.495999992E-1,-3.377999961E-1,4.571777319E-1
1.109991569E0,1.529999971E-1,1.790999919E-1,-3.752999902E-1,4.430980578E-1
1.119918131E0,1.538999975E-1,2.107999921E-1,-3.192999959E-1,4.124006950E-1
1.129844694E0,1.648999900E-1,1.934999973E-1,-2.144999951E-1,3.326326856E-1
1.139771256E0,2.260999978E-1,1.856999993E-1,-2.560999990E-1,3.888353227E-1
1.149697819E0,2.879000008E-1,1.590999961E-1,-2.994000018E-1,4.447916144E-1
1.159624381E0,2.820999920E-1,1.332999915E-1,-3.545999825E-1,4.723245080E-1
1.169550944E0,1.810999960E-1,1.171000004E-1,-4.684000015E-1,5.156628550E-1
1.179475944E0,7.249999791E-2,8.169999719E-2,-5.834000111E-1,5.935374564E-1
1.189402506E0,-8.299999870E-3,1.070000008E-1,-7.611999512E-1,7.687283368E-1
1.199329069E0,-7.220000029E-2,1.659999974E-2,-9.039999843E-1,9.070305241E-1
1.209255631E0,-8.100000024E-2,-5.139999837E-2,-7.875999808E-1,7.934208780E-1
1.219182194E0,4.309999943E-2,-3.779999912E-2,-6.290999651E-1,6.317065901E-1
1.229108756E0,7.679999620E-2,-1.118000001E-1,-5.015000105E-1,5.195187580E-1
1.239035319E0,2.089999989E-2,-1.736999899E-1,-4.570999742E-1,4.894373125E-1
1.248960319E0,3.280000016E-2,-1.743000001E-1,-4.183000028E-1,4.543470286E-1
1.258886881E0,-3.240000084E-2,-2.048999965E-1,-4.858999848E-1,5.283299763E-1
1.268813444E0,-7.069999725E-2,-2.204999924E-1,-6.922000051E-1,7.299038178E-1
1.278740006E0,-1.655000001E-1,-3.075999916E-1,-8.628000021E-1,9.308232101E-1
1.288666569E0,-2.360000014E-1,-3.075000048E-1,-9.341999888E-1,1.011425663E0
1.298593131E0,-2.210000008E-1,-3.145000041E-1,-7.652999759E-1,8.564083757E-1
1.308518131E0,-5.289999768E-2,-2.969000041E-1,-3.213000000E-1,4.406605408E-1
1.318444694E0,3.680000082E-2,-2.990999818E-1,2.709999979E-1,4.052851317E-1
1.328371256E0,2.639999986E-2,-2.261999995E-1,7.629999518E-1,7.962614685E-1
1.338297819E0,-3.449999914E-2,-1.614999920E-1,8.501999974E-1,8.660903723E-1
1.348224381E0,-2.201999873E-1,-1.345999986E-1,6.405999660E-1,6.906326886E-1
1.358150944E0,-3.622999787E-1,-8.649999648E-2,3.691000044E-1,5.243837691E-1
1.368075944E0,-5.820999742E-1,1.009999961E-2,6.909999996E-2,5.862739973E-1
1.378002506E0,-6.369999647E-1,8.839999884E-2,-8.540000021E-2,6.487500866E-1
1.387929069E0,-5.159999728E-1,1.342999935E-1,-2.789999917E-2,5.339202845E-1
1.397855631E0,-4.165999889E-1,1.728999913E-1,1.527999938E-1,4.762329219E-1
1.407782194E0,-2.868999839E-1,2.307999879E-1,4.619999826E-1,5.907827173E-1
1.417708756E0,-2.820999920E-1,2.689999938E-1,6.046000123E-1,7.193626186E-1
1.427635319E0,-3.407999873E-1,2.629999816E-1,4.810999930E-1,6.455779000E-1
1.437560319E0,-4.448999763E-1,2.724999785E-1,3.847000003E-1,6.482178009E-1
1.447486881E0,-4.973999858E-1,2.904999852E-1,3.098999858E-1,6.540909635E-1
1.457413444E0,-4.418999851E-1,2.971999943E-1,1.887999922E-1,5.650211239E-1
1.467340006E0,-3.493999839E-1,3.111999929E-1,6.279999763E-2,4.720906947E-1
1.477266569E0,-2.583999932E-1,3.251000047E-1,1.140000001E-1,4.306466876E-1
1.487193131E0,-1.582999974E-1,3.486000001E-1,1.653999984E-1,4.170587594E-1
1.497119694E0,-1.753000021E-1,3.219999969E-1,1.500999928E-1,3.961617051E-1
1.507044694E0,-2.500000000E-1,3.437999785E-1,8.679999411E-2,4.338578848E-1
1.516971256E0,-3.148999810E-1,3.059999943E-1,3.460000083E-2,4.404488104E-1
1.526897819E0,-2.926999927E-1,3.075999916E-1,4.120000079E-2,4.266010790E-1
1.536824381E0,-2.038999945E-1,2.894999981E-1,5.810000002E-2,3.588329230E-1
1.546750944E0,-4.800000042E-2,2.910999954E-1,-3.399999812E-3,2.950504488E-1
1.556677506E0,2.969999984E-2,2.239999920E-1,-9.429999441E-2,2.448480659E-1
1.566604069E0,8.799999952E-3,1.965999901E-1,-4.879999906E-2,2.027570863E-1
1.576529069E0,1.630000025E-2,1.797999889E-1,5.200000014E-3,1.806121978E-1
1.586455631E0,5.260000005E-2,1.433999985E-1,2.019999921E-2,1.540725789E-1
1.596382194E0,8.729999512E-2,1.175999939E-1,5.350000039E-2,1.559272195E-1
1.606307194E0,1.334999949E-1,7.090000063E-2,6.929999590E-2,1.662875466E-1
1.616235319E0,1.592999995E-1,5.419999734E-2,8.429999650E-2,1.882036635E-1
1.626161881E0,1.952999979E-1,3.739999980E-2,1.482999921E-1,2.480599460E-1
1.636086881E0,2.124999911E-1,3.999999899E-4,1.741999984E-1,2.747763557E-1
1.646013444E0,2.105999887E-1,-1.740000024E-2,1.516999900E-1,2.601307406E-1
1.655940006E0,2.091999948E-1,1.310000010E-2,8.119999617E-2,2.247880940E-1
1.665866569E0,2.368999869E-1,3.339999914E-2,-6.679999828E-2,2.483936462E-1
